id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4875281721200247,MvAq852eP,7436513583,内蒙古自治区科学技术协会科普部,#北疆科普小知识#【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓#错误擤鼻涕或致耳朵鼓膜穿孔#@央视网科技L央视网科技的微博视频,,,央视网科技,"北疆科普小知识,哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力,错误擤鼻涕或致耳朵鼓膜穿孔",0,0,0,2023-03-03 19:00,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,内蒙古,蓝V
4875278437060190,MvAkPtCG2,5888410717,北疆女声,【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓#错误擤鼻涕或致耳朵鼓膜穿孔#@央视网科技L央视网科技的微博视频,,,央视网科技,"哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力,错误擤鼻涕或致耳朵鼓膜穿孔",0,0,0,2023-03-03 18:47,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,,蓝V
4875220206488539,MvyOUrdXR,7781266044,安徽科学技术出版社,【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#科普科学##老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓#全国爱耳日##错误擤鼻涕或致耳朵鼓膜穿孔#L央视网科技的微博视频,,,,"哪些因素会加速老年人听力受损,科普科学,老年人如何保持健康的听觉能力,全国爱耳日,错误擤鼻涕或致耳朵鼓膜穿孔",0,0,0,2023-03-03 14:55,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,安徽,蓝V
4875205958437501,MvyrVzoYJ,6109428342,陕西政协,【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓#错误擤鼻涕或致耳朵鼓膜穿孔#L央视网科技的微博视频,,,,"哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力,错误擤鼻涕或致耳朵鼓膜穿孔",0,0,0,2023-03-03 13:59,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,,蓝V
4875173712629208,MvxBVb1YA,2175409884,商洛中院,【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓#错误擤鼻涕或致耳朵鼓膜穿孔#L央视网科技的微博视频,,,,"哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力,错误擤鼻涕或致耳朵鼓膜穿孔",0,0,3,2023-03-03 11:50,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,,蓝V
4875162212372125,Mvxjn9X65,6398363477,蓝山县禁毒办,【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓#错误擤鼻涕或致耳朵鼓膜穿孔#@央视网科技L央视网科技的微博视频,,,央视网科技,"哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力,错误擤鼻涕或致耳朵鼓膜穿孔",0,6,2,2023-03-03 11:05,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,,蓝V
4875158538420226,Mvxdrzku6,1988518703,冲浪新知,#新知小课堂#【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓L央视网科技的微博视频,,,,"新知小课堂,哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力",0,0,0,2023-03-03 10:50,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,,蓝V
4875158538158995,MvxdryewH,1714462833,新知实验室lab,#新知小课堂#【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓L央视网科技的微博视频,,,,"新知小课堂,哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力",0,0,0,2023-03-03 10:50,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,,黄V
4875158537898558,Mvxdrx8M6,1972541785,知食研究院,#新知小课堂#【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓L央视网科技的微博视频,,,,"新知小课堂,哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力",0,0,0,2023-03-03 10:50,微博发布平台专业版,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021561&ssig=RNUhh2hsOL&KID=unistore,video",,,普通用户
4875158537373735,MvxdruWfd,1984104953,智能生活派,#新知小课堂#【#哪些因素会加速老年人听力受损#？包括饮食结构、噪声接触、精神压力等】#老年人如何保持健康的听觉能力#老年人的听力下降不容忽视，生活中很多老年人对听力下降这件事并不在意。据介绍，不良生活方式的潜在影响是引起老年听力障碍的常见因素。那么，该如何预防和治疗老年人的听力损失呢？老年人在选购助听器方面又要注意什么呢？详戳↓L央视网科技的微博视频,,,,"新知小课堂,哪些因素会加速老年人听力受损,老年人如何保持健康的听觉能力",1,0,0,2023-03-03 10:50,微博视频号,,"http://f.video.weibocdn.com/o0/S7ceHGLalx083zFb1xW0010412006yiV0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021564&ssig=HcOelB37h0&KID=unistore,video",,,普通用户
